TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_872,pre_sale_qty_985,pre_sale_qty_783,pre_sale_qty_807,pre_sale_qty_813,pre_sale_qty_841,pre_sale_qty_814,pre_sale_qty_692,pre_sale_qty_836,pre_sale_qty_761,pre_sale_qty_638,pre_sale_qty_290,pre_sale_qty_304,pre_sale_qty_750,pre_sale_qty_SSmDp,pre_sale_qty_LDp,pre_sale_qty_Full
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,96.21152685642242
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,11.093086063861847
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,15.252286101579664
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,3.4271392595767973
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,19.734271993637083
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,18.378162385523318
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,1.4294217370450495
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,2.041632372289896
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,0.9819323566555976
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,217.5249148607254
