TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_Full,pre_sale_quantity
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,96.21152685642242,96.21152685642242
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,11.093086063861847,11.093086063861847
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,15.252286101579664,15.252286101579664
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,3.4271392595767973,3.4271392595767973
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,19.734271993637083,19.734271993637083
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,18.378162385523318,18.378162385523318
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,1.4294217370450495,1.4294217370450495
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,2.041632372289896,2.041632372289896
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,0.9819323566555976,0.9819323566555976
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,217.5249148607254,217.5249148607254
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1195.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,6.4777756382524965,6.4777756382524965
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1225.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,30.823840367794038,30.823840367794038
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,150.0,1360.0,1544.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1558.0,1770.0,2,2685.0,102.89102365359665,102.89102365359665
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1360.0,1544.0,1,MT,2,L,1,1,1,89.0,10-15W,5,1558.0,1770.0,2,2685.0,521.205078201294,521.205078201294
6,450,1479.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1360.0,1544.0,1,AT,2,L,1,1,1,80.0,10-15W,5,1565.0,1778.0,2,2685.0,209.5223609161377,209.5223609161377
6,450,1455.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1260.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,80.82264668941498,80.82264668941498
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1390.0,1544.0,1,AT,2,L,1,1,1,89.0,10-15W,5,1558.0,1800.0,2,2685.0,306.23471085071566,306.23471085071566
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1425.0,1544.0,1,AT,2,L,1,1,1,105.0,10-15W,5,1558.0,1835.0,2,2685.0,6.5523163460195075,6.5523163460195075
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1410.0,1544.0,1,AT,2,L,1,1,1,108.0,10-15W,5,1558.0,1820.0,2,2685.0,139.00782068729401,139.00782068729401
6,450,1458.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1245.0,1540.0,1,MT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,1.0547960744053126,1.0547960744053126
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1240.0,1541.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1561.0,1670.0,2,2700.0,18.295323828309776,18.295323828309776
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,235.0,1450.0,1544.0,1,MT,2,T,1,1,1,135.0,10-15W,5,1558.0,1860.0,2,2685.0,3.6499288280308253,3.6499288280308253
7,450,1454.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,9.497984205335378,9.497984205335378
7,450,1460.0,4666.0,1807.0,349023,3,4,2,1.4,1,1,240.0,1310.0,1541.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,5.8035458588600175,5.8035458588600175
