TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_872,pre_sale_qty_985,pre_sale_qty_783,pre_sale_qty_814,pre_sale_qty_692,pre_sale_qty_836,pre_sale_qty_638,pre_sale_qty_304,pre_sale_qty_750,pre_sale_qty_923,pre_sale_qty_813,pre_sale_qty_841,pre_sale_qty_SSmDp,pre_sale_qty_SmDpMT,pre_sale_qty_MDpNotMT_x,pre_sale_qty_MDpMT,pre_sale_qty_LDp,pre_sale_qty_1.5Dp,pre_sale_qty_1.4Dp,pre_sale_qty_1.6Dp
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,,461.2229705429077,,
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,,,,,18.1875076559186,,,,,,8.18273496121168
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,,,,,16.581161990761757,,,,,,6.211535115689039
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,,29.175709623098374,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,10.362009261548518
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,9.2715101672709
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,1.3587888664007186
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,1.285517803877592
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,,,0.8942202857881785,
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,,,,,,,,,,,,,,,,,,,279.5101197433472,,,,126.9767510330677,,
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1195.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,,,,,11.4613845038414,,,,5.212887738645077,,
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1225.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,,,,,28.24859690308571,,,,13.891409503892064,,
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,150.0,1360.0,1544.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,,,,,197.9190154457092,,,,,,78.5112166981399
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1360.0,1544.0,1,MT,2,L,1,1,1,89.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,,,,,491.0650749731064,,,,,,156.62709817573432
6,450,1479.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1360.0,1544.0,1,AT,2,L,1,1,1,80.0,10-15W,5,1565.0,1778.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,126.93973199248312,,
6,450,1455.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1260.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,,,,,,,,,41.919391668364405,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1390.0,1544.0,1,AT,2,L,1,1,1,89.0,10-15W,5,1558.0,1800.0,2,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,113.53414450645448
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1425.0,1544.0,1,AT,2,L,1,1,1,105.0,10-15W,5,1558.0,1835.0,2,2685.0,,,,,,,,,,,,,,,,,,,,17.558840207830073,,,,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1410.0,1544.0,1,AT,2,L,1,1,1,108.0,10-15W,5,1558.0,1820.0,2,2685.0,,,,,,,,,,,,,,,,,,,,131.04726788520813,,,,,
6,450,1458.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1245.0,1540.0,1,MT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,,,,,2.2960333731025457,,,,,2.7421789472550158,
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1240.0,1541.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1561.0,1670.0,2,2700.0,,,,,,,,,,,,,,,,,,,10.573717831373212,,,,29.58868577003479,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,235.0,1450.0,1544.0,1,MT,2,T,1,1,1,135.0,10-15W,5,1558.0,1860.0,2,2685.0,,,,,,,,,,,,,,,,,,,4.002841055393219,,,,,,5.06768227994442
7,450,1454.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,,,,,,,,,,13.32741771042347,
7,450,1460.0,4666.0,1807.0,349023,3,4,2,1.4,1,1,240.0,1310.0,1541.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,,,,,,,,,,4.74554239936173,
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1242.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,,,,,,,,,,174.09777834892273,,,,,,,,,,,,,,,116.8741897201538
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1228.0,1540.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1540.0,1670.0,2,2700.0,,,,,,,,,,48.13853021621704,,,,,,,,,,,,,,,43.138864178657535
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1260.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,,,,,,,,,,55.12447780132294,,,,,,,,,,,,,,,47.00799566030502
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1195.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,,,,,,,,,,5.375387926697731,,,,,,,,,7.252514294832945,,,,,,6.388950665295124
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1203.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,,,,,,,,,,12.200785685777664,,,,,,,,,9.80861293375492,,,,,,10.739464274644853
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1590.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1572.0,1984.0,2,2815.0,,,,,,,,,,,,,,,,,2.304958183169365,,,,,,,,34.23140392541885
10,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MTAT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,,,,,,1.5986642809212208,,,3.601379906833172,,,,,
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,,,,,,0.9038608150184154,,,,0.6312041759490967,,,,
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,,,,,,1.2146090412139892,,,,1.0590163615345956,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1551.0,2101.0,2,2815.0,,,,,,,,,,,,,,,,,6.926866623610258,,,,,,,,4.8071474070101985
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,20-25W,5,1551.0,2101.0,2,2815.0,,,,,,,,,,,,,,,,,1.5743618283420802,,,,,,,,1.537517054006457
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1551.0,2098.0,2,2815.0,,,,,,,,,,,,,,,,,0.10231700699776412,,,0.2229233405739069,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,20-25W,5,1551.0,2098.0,2,2815.0,,,,,,,,,,,,,,,,,0.11908185955137016,,,0.2126365034841001,,,,,
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1590.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1572.0,2027.0,2,2815.0,,,,,,,,,,,,,,,,,0.2057202172279358,,,0.3917010194063187,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,,,,,,,,,,,,,,,,,21.94391861498356,,,23.484755423069,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,,,,,,,,,,,,,,,,,35.64418925404549,,,32.75984108448029,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,1,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,,,,,,,,,,,,,,,,,1.2346103600412608,,,,,0.8832118786126375,,,
