,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,year,month,sale_predict
975,732758,28.0,814,2,1,1,4,8,AT,2.0,T,25-35W,3,1,1,1,2,2,157.0,4,280.0,4565.0,1821.0,1624.0,2165.0,1675.0,5,2780.0,1561.0,1562.0,2017,9,3.2255905674397947
976,732758,259.0,814,2,1,1,4,6,AT,1.5,T,25-35W,1,1,1,1,2,2,111.0,3,220.0,4565.0,1821.0,1624.0,2035.0,1550.0,5,2780.0,1561.0,1562.0,2017,9,179.30453249931338
977,732758,35.0,814,2,1,1,4,8,AT,2.0,T,25-35W,1,1,1,1,2,2,157.0,4,280.0,4565.0,1821.0,1624.0,2095.0,1607.0,5,2780.0,1561.0,1562.0,2017,9,41.232592625617976
978,732758,0.0,814,2,1,1,4,6,AT,1.5,T,25-35W,3,2,4,1,2,2,111.0,3,220.0,4565.0,1821.0,1613.0,2340.0,1900.0,5,2780.0,1561.0,1562.0,2017,9,2.622481507137418
979,732758,0.0,814,2,1,1,4,6,AT,2.0,L,25-35W,2,1,1,3,2,2,122.0,4,195.0,4469.0,1798.0,1583.0,2040.0,1560.0,5,2760.0,1500.0,1529.0,2017,9,0.06543475225567817
980,732758,0.0,814,2,1,1,4,6,AT,2.0,L,25-35W,2,1,1,3,2,2,122.0,4,195.0,4477.0,1798.0,1577.0,2010.0,1580.0,5,2760.0,1500.0,1529.0,2017,9,0.5481115388870239
981,732758,0.0,814,2,1,1,4,6,MT,2.0,L,25-35W,2,1,1,3,2,2,122.0,4,195.0,4477.0,1798.0,1577.0,1990.0,1535.0,5,2760.0,1500.0,1529.0,2017,9,0.005451426431536674
982,732758,0.0,814,2,1,1,4,6,MT,2.0,T,25-35W,2,1,1,1,2,2,128.0,4,240.0,4484.0,1798.0,1577.0,2035.0,1570.0,5,2760.0,1500.0,1529.0,2017,9,0.02460994563996792
983,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,2,1,1,1,2,2,128.0,4,240.0,4484.0,1798.0,1577.0,2060.0,1605.0,5,2760.0,1500.0,1529.0,2017,9,8.592416868209838
984,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,2,1,1,3,2,2,150.0,4,270.0,4469.0,1798.0,1583.0,2085.0,1605.0,5,2760.0,1500.0,1529.0,2017,9,0.034306898713111884
985,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,2,1,1,3,2,2,150.0,4,270.0,4477.0,1798.0,1577.0,2060.0,1605.0,5,2760.0,1500.0,1529.0,2017,9,0.016239968240261082
986,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,3,1,1,1,2,2,150.0,4,270.0,4484.0,1798.0,1577.0,2140.0,1700.0,5,2760.0,1500.0,1529.0,2017,9,0.32616918861866
987,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,3,1,1,1,2,2,189.0,4,350.0,4565.0,1821.0,1624.0,2169.0,1680.0,5,2780.0,1561.0,1562.0,2017,9,0.4253264684975147
988,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,3,1,1,3,2,2,150.0,4,270.0,4469.0,1798.0,1583.0,2180.0,1700.0,5,2760.0,1500.0,1529.0,2017,9,0.01685562141239643
989,732758,0.0,814,2,1,1,4,8,AT,2.0,T,25-35W,3,1,1,3,2,2,150.0,4,270.0,4477.0,1798.0,1577.0,2140.0,1700.0,5,2760.0,1500.0,1529.0,2017,9,0.012293857634067536
