TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_497,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_12,pre_sale_qty_872,pre_sale_qty_923,pre_sale_qty_75,pre_sale_qty_985,pre_sale_qty_841,pre_sale_qty_813,pre_sale_qty_783,pre_sale_qty_450,pre_sale_qty_SmDpMT,pre_sale_qty_SmDpNotMT,pre_sale_qty_SsmDpMT,pre_sale_qty_SsmDpNotMT,pre_sale_qty_MDpMT,pre_sale_qty_MDpNotMT,pre_sale_qty_LDpNotMT,pre_sale_quantity
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,705.8265941619873,,751.3255382919311,,,,742.9885630035402,,733.3802318191529
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,2.5413459587097167,,,,,3.6907137811183928,,,3.1160298699140547
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,1.3996968460083008,,,,,1.8136445927619933,,,1.606670719385147
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,23.585513634681703,,22.50399536490441,,,,17.911932048797606,,21.333813682794574
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.481466166973114,,,,,,3.3727846124768264,,2.9271253897249703
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.105061776638031,,,,,,1.9392643550038335,,2.022163065820932
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3559095437079668,,,,,,0.284767105281353,,0.32033832449465993
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3805190142989159,,,,,,0.13369366645812988,,0.25710634037852287
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,3.370303839817644,,4.053385915607214,,,,,,3.7118448777124287
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,,,,,,,,,,,,,,,43.238722500801096,100.25509219765664,,,,67.70335787653923,,,70.39905752499898
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1195.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,2.9528690791130066,1.6721259331703189,,,,1.6895576202869416,,,2.1048508775234223
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1225.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,7.278388900756836,8.473176832199096,,,,5.762100902199745,,,7.1712222117185584
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,150.0,1360.0,1544.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,16.894749811887742,,,,,5.014222569987178,,,10.954486190937459
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1360.0,1544.0,1,MT,2,L,1,1,1,89.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,87.34903727784754,,,,,34.238296389505265,,,60.793666833676404
6,450,1479.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1360.0,1544.0,1,AT,2,L,1,1,1,80.0,10-15W,5,1565.0,1778.0,2,2685.0,,,,,,,,,,,,,,,73.03862712860108,,73.63976627349855,,,,82.86893654823305,,76.5157766501109
6,450,1455.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1260.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,24.468135489821435,,23.124931904673577,,,,28.699545875191692,,25.430871089895565
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1390.0,1544.0,1,AT,2,L,1,1,1,89.0,10-15W,5,1558.0,1800.0,2,2685.0,,,,,,,,,,,,,,,44.02523847103119,,,,,,17.027606246471404,,30.5264223587513
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1425.0,1544.0,1,AT,2,L,1,1,1,105.0,10-15W,5,1558.0,1835.0,2,2685.0,,,,,,,,,,,,,,,1.2108842462301257,,,,,,1.2222151394188403,,1.216549692824483
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1410.0,1544.0,1,AT,2,L,1,1,1,108.0,10-15W,5,1558.0,1820.0,2,2685.0,,,,,,,,,,,,,,,27.269529242515567,,,,,,20.210672841519123,,23.740101042017344
6,450,1458.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1245.0,1540.0,1,MT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,0.6617108003795147,0.4257853502035141,,,,,,,0.5437480752915144
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1240.0,1541.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1561.0,1670.0,2,2700.0,,,,,,,,,,,,,,,66.26959524393082,65.63273702859878,,,,71.84476265788078,,,67.91569831013679
