TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_497,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_12,pre_sale_qty_872,pre_sale_qty_923,pre_sale_qty_75,pre_sale_qty_985,pre_sale_qty_841,pre_sale_qty_813,pre_sale_qty_783,pre_sale_qty_450,pre_sale_qty_SmDpMT,pre_sale_qty_SmDpNotMT,pre_sale_qty_SsmDpMT,pre_sale_qty_SsmDpNotMT,pre_sale_qty_MDpMT,pre_sale_qty_LDpNotMT,pre_sale_qty_2DpNotMT,pre_sale_qty_MDpDCT,pre_sale_qty_MDpCVT,pre_sale_qty_MDpATAMTCp2,pre_sale_quantity,pre_sale_qty_MDpATAMTCp3CgT,pre_sale_qty_MDpATAMTCp3CgLEm3,pre_sale_qty_1p61p8DpATAMTCp3CgLEm1
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,705.8265941619873,,751.3255382919311,,,,,,,,,728.5760662269591,,,
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,2.5413459587097167,,,,,3.6907137811183928,,,,,,3.1160298699140547,,,
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,1.3996968460083008,,,,,1.8136445927619933,,,,,,1.606670719385147,,,
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,23.585513634681703,,22.50399536490441,,,,,,,,23.21793322443962,23.10248074134191,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.481466166973114,,,,,,,,,,5.424947308301926,3.95320673763752,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.105061776638031,,,,,,,,,,1.1176898020505903,1.6113757893443106,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3559095437079668,,,,,,,,,,1.1562817257642746,0.7560956347361207,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3805190142989159,,,,,,,,,,0.10820910453796387,0.24436405941843986,,,
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,3.370303839817644,,4.053385915607214,,,,,,,,,3.7118448777124287,,,
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,,,,,,,,,,,,,,,43.238722500801096,100.25509219765664,,,,67.70335787653923,,,,,,70.39905752499898,,,
