TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_Full
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,253.38694141387936
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,12.314141879454255
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,11.52741500608623
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,21.30535372853279
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,15.382708530426026
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,14.565955224335193
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,2.711513678729534
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,1.946689214482904
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,3.0264852050691844
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,153.9602612373233
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1195.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,14.561951862573626
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1225.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,23.506213632524013
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,150.0,1360.0,1544.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1558.0,1770.0,2,2685.0,115.19991645820438
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1360.0,1544.0,1,MT,2,L,1,1,1,89.0,10-15W,5,1558.0,1770.0,2,2685.0,222.8065546581149
6,450,1479.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1360.0,1544.0,1,AT,2,L,1,1,1,80.0,10-15W,5,1565.0,1778.0,2,2685.0,169.89850489377974
