TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_497,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_12,pre_sale_qty_872,pre_sale_qty_923,pre_sale_qty_75,pre_sale_qty_985,pre_sale_qty_841,pre_sale_qty_813,pre_sale_qty_783,pre_sale_qty_450,pre_sale_qty_SmDpMT,pre_sale_qty_SmDpNotMT,pre_sale_qty_SsmDpMT,pre_sale_qty_SsmDpNotMT,pre_sale_qty_MDpMT
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1270.0,1541.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,705.8265941619873,,751.3255382919311,,,
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,2.5413459587097167,,,,,3.6907137811183928
5,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1380.0,1545.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1567.0,1788.0,2,2685.0,,,,,,,,,,,,,,,1.3996968460083008,,,,,1.8136445927619933
6,450,1459.0,4450.0,1807.0,349023,2,4,2,1.5,1,1,146.0,1280.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1561.0,1700.0,2,2700.0,,,,,,,,,,,,,,,23.585513634681703,,22.50399536490441,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.481466166973114,,,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,155.0,1395.0,1545.0,1,AT,2,L,1,1,1,86.0,10-15W,5,1567.0,1803.0,2,2685.0,,,,,,,,,,,,,,,2.105061776638031,,,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,1,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3559095437079668,,,,,
6,450,1477.0,4510.0,1797.0,349023,2,4,2,1.6,1,3,235.0,1485.0,1535.0,1,AT,2,T,1,1,1,131.0,10-15W,5,1557.0,1893.0,2,2685.0,,,,,,,,,,,,,,,0.3805190142989159,,,,,
7,450,1459.0,4450.0,1807.0,349023,2,4,2,1.4,1,1,240.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,3.3703038398176437,,4.053385915607214,,,
5,450,1477.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1320.0,1544.0,1,MT,2,L,1,1,1,80.0,10-15W,5,1565.0,1738.0,2,2685.0,,,,,,,,,,,,,,,43.238722500801096,100.25509219765664,,,,67.70335787653923
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1195.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,2.9528690791130066,1.6721259331703189,,,,1.6895576202869416
5,450,1456.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1225.0,1540.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,7.278388900756836,8.473176832199096,,,,5.762100902199745
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,150.0,1360.0,1544.0,1,MT,2,L,1,1,1,86.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,16.894749811887742,,,,,5.014222569987178
5,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1360.0,1544.0,1,MT,2,L,1,1,1,89.0,10-15W,5,1558.0,1770.0,2,2685.0,,,,,,,,,,,,,,,87.34903727784754,,,,,34.238296389505265
6,450,1479.0,4643.0,1797.0,349023,3,4,2,1.5,1,1,141.0,1360.0,1544.0,1,AT,2,L,1,1,1,80.0,10-15W,5,1565.0,1778.0,2,2685.0,,,,,,,,,,,,,,,73.03862712860108,,73.63976627349855,,,
6,450,1455.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1260.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,24.468135489821435,,23.124931904673577,,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1390.0,1544.0,1,AT,2,L,1,1,1,89.0,10-15W,5,1558.0,1800.0,2,2685.0,,,,,,,,,,,,,,,44.02523847103119,,,,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1425.0,1544.0,1,AT,2,L,1,1,1,105.0,10-15W,5,1558.0,1835.0,2,2685.0,,,,,,,,,,,,,,,1.2108842462301257,,,,,
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1410.0,1544.0,1,AT,2,L,1,1,1,108.0,10-15W,5,1558.0,1820.0,2,2685.0,,,,,,,,,,,,,,,27.269529242515567,,,,,
6,450,1458.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1245.0,1540.0,1,MT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,0.6617108003795147,0.4257853502035141,,,,
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1240.0,1541.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1561.0,1670.0,2,2700.0,,,,,,,,,,,,,,,66.26959524393082,65.63273702859878,,,,71.84476265788078
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,235.0,1450.0,1544.0,1,MT,2,T,1,1,1,135.0,10-15W,5,1558.0,1860.0,2,2685.0,,,,,,,,,,,,,,,0.7619896282255649,,,,,0.21826329857110974
7,450,1454.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,,,,,,,,,,,,,,,4.8200581324100495,,4.861057968139648,,,
7,450,1460.0,4666.0,1807.0,349023,3,4,2,1.4,1,1,240.0,1310.0,1541.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,,,,,,,,,,,,,,,17.042333093881606,,18.8225178027153,,,
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1242.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,,,,,,,,,,,,,,,,,,,,
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1228.0,1540.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1540.0,1670.0,2,2700.0,,,,,,,,,,,,,,,,,,,,
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1260.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,,,,,,,,,,,,,,,,,,,,
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1195.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,,,,,,,,,,,,,,,,,,,,1.1262020851671697
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1203.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,,,,,,,,,,,,,,,,,,,,11.428359301090241
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1590.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1572.0,1984.0,2,2815.0,,,,,,,,,,,,64.36730188608169,,,,,,,,
10,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MTAT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,0.5728530513495207,,,,,,,,
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,0.8171194577217102,,,,,,,,0.6337822590023279
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,,,,,,,,,,,,0.439598740786314,,,,,,,,0.17070309840142728
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1551.0,2101.0,2,2815.0,,,,,,,,,,,,3.1124127244949342,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,20-25W,5,1551.0,2101.0,2,2815.0,,,,,,,,,,,,1.0292394046485425,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1551.0,2098.0,2,2815.0,,,,,,,,,,,,1.9934931455552576,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,20-25W,5,1551.0,2098.0,2,2815.0,,,,,,,,,,,,0.6553926800936459,,,,,,,,
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1590.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1572.0,2027.0,2,2815.0,,,,,,,,,,,,4.010965075790882,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,,,,,,,,,,,,9.421629829406738,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,,,,,,,,,,,,7.648418481349945,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,1,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,,,,,,,,,,,,0.7794264836609364,,,,,,,,
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,3,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,,,,,,,,,,,,3.0573483335971834,,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,730.6197828292846,,,,751.9429976654053
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1215.0,1420.0,1,MT,1,L,1,3,1,60.3,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,74.34698553085326,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,1.1251615476608277,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,14.08782974243164,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,0.7727147436141968,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,5.910982913970948,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,23.810414848327635,,,,20.12087228149176
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,11.150944340080024,,,,10.894443447589872
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,42.34993441104889,,,,32.31724109083414
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
7,750,1673.0,4712.0,1839.0,714152,2,4,4,1.8,1,1,300.0,1615.0,1582.0,1,DCT,2,T,1,1,1,132.0,25-35W,5,1572.0,2085.0,1,2791.0,,,,,,,,,,,,,,,,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1580.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,1955.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,1,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1680.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2055.0,1,2684.0,,,,,,,,,,,,,,,,,,,,
