,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,predict_sale_quantity
61459,580470,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,3,2,1,96,4,220,4540,1775,1467,1820,1315,5,2610,1517,1493,0.005385058
26626,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,3,1,1,1,2,1,110,4,210,4649,1852,1710,2106,1596,5,2680,1565,1565,0.00539385
26627,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,3,1,1,1,2,1,110,4,210,4649,1852,1710,2106,1620,5,2680,1565,1565,0.010940361
26625,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,3,1,1,1,2,1,110,4,210,4640,1825,1745,2098,1588,5,2680,1565,1565,0.012782189
27671,308913,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,3,2,1,96,4,225,4454,1765,1460,1805,1295,5,2610,1517,1493,0.027311595
27670,308913,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4454,1765,1460,1805,1295,5,2610,1517,1493,0.027321429
73194,714152,750,2,1,1,4,6,MT,1.4,T,25-35W,1,1,1,3,2,1,96,4,220,4506,1809,1685,1950,1500,5,2684,1569,1571,0.041961585
61458,580470,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,3,2,1,96,4,220,4523,1775,1467,1810,1325,5,2610,1517,1493,0.042099617
42582,321683,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,3,2,1,96,4,220,4544,1760,1461,1910,1405,5,2578,1539,1528,0.042766291
69880,671482,637,2,1,3,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,90,3,150,4345,1785,1647,1657,1247,5,2530,1555,1560,0.045
54985,914348,750,3,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63,4,130,4200,1650,1465,1514,1139,5,2460,1435,1425,0.046674113
37355,198427,12,3,2,1,1,6,MT,1.3,T,5-8W,1,1,1,3,2,1,98,4,185,4590,1734,1470,1617,1242,5,2600,1490,1470,0.047421902
73193,714152,750,2,1,1,4,6,MT,1.4,T,25-35W,1,1,1,1,2,1,96,4,220,4506,1809,1685,1950,1500,5,2684,1569,1571,0.048669864
48750,360648,106,2,2,3,5,5,MT,1.3,L,8-10W,1,1,1,1,2,1,73,4,123,4160,1700,1485,1500,1050,5,2550,1470,1470,0.05
48752,360648,106,2,2,3,5,5,MT,1.5,L,8-10W,1,1,1,1,2,1,79,4,140,4115,1700,1495,1500,1050,5,2550,1460,1460,0.056104498
52952,425432,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,3,2,1,96,4,220,4605,1765,1460,1815,1305,5,2610,1517,1493,0.06022222
37354,198427,12,3,2,1,1,6,MT,1.3,T,5-8W,1,1,1,1,2,1,98,4,185,4547,1734,1470,1617,1242,5,2600,1490,1470,0.06132328
73195,714152,750,2,1,1,4,6,MT,1.4,T,25-35W,1,1,1,3,2,1,96,4,220,4525,1809,1665,1930,1480,5,2684,1569,1571,0.072872211
48753,360648,106,2,2,3,5,5,MT,1.5,L,8-10W,1,1,1,3,2,1,79,4,140,4115,1700,1495,1500,1050,5,2550,1460,1460,0.078946917
