class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,year,month
289403,94.0,12,2,1,1,1,6,MT,1.8,L,1,1,1,1,2,1,98.0,4,170.0,4440.0,1833.0,1545.0,1695.0,1320.0,5,2700.0,1556.0,1562.0,2016,9
745137,435.0,637,3,2,1,2,6,DCT,1.6,L,1,1,1,1,2,1,94.0,4,159.0,4534.0,1823.0,1483.0,1711.0,1336.0,5,2648.0,1553.0,1544.0,2016,9
714860,180.0,831,3,2,2,3,6,AT,1.8,L,1,1,1,1,2,1,105.0,4,176.0,4720.0,1815.0,1465.0,1860.0,1459.0,5,2770.0,1579.0,1589.0,2016,9
175962,40.0,750,3,2,1,4,6,AT,1.6,L,1,1,1,1,2,1,81.0,4,155.0,4475.0,1706.0,1469.0,1625.0,1145.0,5,2603.0,1460.0,1500.0,2016,9
270690,19.0,98,2,3,3,1,5,MT,1.5,L,2,1,1,1,1,1,82.0,4,146.5,4415.0,1685.0,1850.0,1825.0,1236.0,5,2720.0,1420.0,1440.0,2016,9
290854,53.0,537,2,1,1,5,0,CVT,2.0,L,1,1,1,1,2,1,114.0,4,190.0,4585.0,1820.0,1685.0,2010.0,1540.0,5,2620.0,1580.0,1580.0,2016,9
692703,81.0,807,2,1,1,1,5,MT,1.3,T,1,1,1,1,2,1,101.0,4,202.0,4510.0,1852.0,1677.0,1900.0,1450.0,5,2650.0,1575.0,1570.0,2016,9
978089,37.0,12,2,2,1,1,5,MT,1.5,L,1,1,1,1,2,1,80.0,4,140.0,4425.0,1789.0,1470.0,1611.0,1236.0,5,2650.0,1502.0,1492.0,2016,9
219195,115.0,638,2,1,3,1,6,AT,1.5,T,1,1,1,1,2,1,110.0,4,210.0,4335.0,1814.0,1695.0,1895.0,1520.0,5,2560.0,1525.0,1520.0,2016,9
851857,78.0,75,2,1,2,2,8,AT,2.0,T,3,1,1,1,2,2,193.0,4,400.0,4812.0,1903.0,1680.0,2375.0,1885.0,5,2857.0,1645.0,1645.0,2016,9
304458,17.0,106,3,2,1,5,5,MT,1.6,L,1,1,1,1,2,1,90.0,4,154.0,4630.0,1775.0,1480.0,1770.0,1265.0,5,2700.0,1535.0,1535.0,2016,9
349023,10.0,450,3,2,1,2,5,MT,1.5,L,1,1,1,1,2,1,84.0,4,146.0,4567.0,1786.0,1456.0,1700.0,1195.0,5,2662.0,1540.0,1558.0,2016,9
281792,10.0,872,2,2,1,4,7,DCT,1.8,T,1,1,1,1,2,2,132.0,4,300.0,4319.0,1785.0,1441.0,1885.0,1435.0,5,2629.0,1539.0,1509.0,2016,9
510309,83.0,953,2,1,2,4,9,AT,2.0,T,3,1,1,1,2,2,155.0,4,350.0,4661.0,1898.0,1664.0,2360.0,1860.0,5,2873.0,1617.0,1613.0,2016,9
379876,7.0,985,3,2,1,6,6,AT,1.2,T,1,1,1,1,2,1,100.0,3,230.0,4590.0,1820.0,1488.0,1736.0,1320.0,5,2675.0,1555.0,1550.0,2016,9
750340,29.0,864,2,1,1,1,6,MT,1.5,T,1,1,1,1,2,1,115.0,4,215.0,4530.0,1900.0,1700.0,1860.0,1485.0,5,2700.0,1601.0,1602.0,2016,9
576298,158.0,304,2,3,2,1,5,MT,1.6,L,2,1,1,1,2,1,83.0,4,138.0,5055.0,1695.0,1960.0,2160.0,1560.0,9,3000.0,1445.0,1420.0,2016,9
347384,28.0,831,3,2,1,3,6,AT,1.6,L,1,1,1,1,2,1,93.8,4,155.5,4600.0,1780.0,1445.0,1720.0,1260.0,5,2700.0,1555.0,1568.0,2016,9
354068,718.0,692,3,2,1,5,0,CVT,1.6,L,1,1,1,1,2,1,93.0,4,154.0,4631.0,1760.0,1503.0,1650.0,1236.0,5,2700.0,1540.0,1540.0,2016,9
416749,29.0,537,2,1,3,5,0,CVT,1.5,L,1,1,1,1,2,1,96.0,4,155.0,4270.0,1772.0,1605.0,1775.0,1205.0,5,2610.0,1540.0,1530.0,2016,9
125403,66.0,761,2,3,2,2,6,AT,3.0,L,1,1,1,1,2,1,187.0,6,290.0,5266.0,1878.0,1772.0,2470.0,1930.0,7,3088.0,1593.0,1603.0,2016,9
409854,310.0,638,2,1,1,1,6,MT,1.5,T,1,1,1,1,2,1,110.0,4,210.0,4649.0,1852.0,1710.0,2059.0,1560.0,5,2680.0,1565.0,1565.0,2016,9
786351,98.0,836,3,2,1,3,6,MT,1.6,L,1,1,1,1,2,1,93.8,4,155.5,4570.0,1775.0,1445.0,1608.0,1233.0,5,2700.0,1549.0,1562.0,2016,9
281301,22.0,750,3,2,2,4,7,DCT,2.0,T,1,1,1,1,2,1,162.0,4,350.0,4872.0,1834.0,1484.0,2120.0,1600.0,5,2803.0,1577.0,1550.0,2016,9
654134,280.0,290,2,1,1,7,5,AMT,1.8,L,1,1,1,1,2,1,101.0,4,186.0,4620.0,1820.0,1750.0,1780.0,1410.0,5,2750.0,1554.0,1549.0,2016,9
379876,63.0,985,3,2,1,6,4,AT,1.6,L,1,1,1,1,2,1,86.0,4,150.0,4558.0,1805.0,1505.0,1798.0,1370.0,5,2612.0,1525.0,1522.0,2016,9
745137,328.0,637,2,2,1,2,6,DCT,1.6,L,1,1,1,1,2,1,94.0,4,159.0,4368.0,1823.0,1483.0,1707.0,1332.0,5,2648.0,1553.0,1544.0,2016,9
425432,519.0,750,3,2,1,4,6,AT,1.6,L,1,1,1,1,2,1,81.0,4,155.0,4605.0,1765.0,1460.0,1775.0,1265.0,5,2610.0,1517.0,1493.0,2016,9
871642,25.0,637,2,1,1,2,6,AT,1.5,T,3,1,1,1,2,1,133.0,4,240.0,4524.0,1838.0,1695.0,2092.0,1717.0,5,2690.0,1563.0,1565.0,2016,9
416749,72.0,537,2,1,3,5,0,CVT,1.8,L,1,1,1,1,2,1,100.0,4,169.0,4270.0,1772.0,1605.0,1775.0,1304.0,5,2610.0,1540.0,1530.0,2016,9
